Virus GENBANK accession,Realm,Kingdom,Phylum,Class,Order,Family,Genus,Species
CASDWV010003932,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus agricola
CASDWV010002250,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus agrivicinum
CASDWV010003918,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus agrivivens
CASDWV010004011,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus arvadaptatum
CASDWV010000787,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus arvenecus
CASDWV010003791,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus arvicola
CASDWV010004347,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus asiadaptatum
CASDWV010003068,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus asiocola
CASDWV010002949,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus asiovicinum
CASDWV010004441,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus asiovivens
CASDWV010001707,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus chorocola
BK013883,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus edaphadaptatum
BK013513,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus edaphenecus
BK013946,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus edaphocola
BK013519,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus edaphohabitans
BK013505,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus edaphovicinum
BK013551,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus edaphovivens
MN033156,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus graminiscola
CASDWV010000305,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus humenecus
CASDWV010002830,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Radbaivirus,Radbaivirus humivivens
