Order	Family	Subfamily	Genus	Virus name (s)	Virus GENBANK accession	Baltimore Group	Virus sequence complete	Genetic code table	Taxonomic grouping
Timlovirales	Blumeviridae		Bonghivirus	ssRNA phage SRR5466725_7	BK014097	IV	Coding-complete genome	1	Blumeviridae
Mononegavirales	Bornaviridae		Cartilovirus	little skate bornavirus	BK063518	V	Complete genome	1	Bornaviridae
Mononegavirales	Bornaviridae		Cultervirus	electric eel bornavirus	BK063519	V	Complete genome	1	Bornaviridae
Ourlivirales	Botourmiaviridae		Betascleroulivirus	Pyricularia oryzae ourmia-like virus 2	LC413502	IV	Complete genome	1	Botourmiaviridae
Ourlivirales	Botourmiaviridae		Botoulivirus	Botrytis ourmia-like virus	LN827955	IV	Complete genome	1	Botourmiaviridae
	Brachygtaviriformidae		Brachyspigtaviriform	Brachyspira hyodysenteriae gene transfer agent	CP001357 (2121760.2137438)	I	Partial genome (non-compliant)	1	Brachygtaviriformidae
Martellivirales	Bromoviridae		Ilarvirus	apple ilarvirus 2	ON932434	IV	Complete genome	1	Bromoviridae
Martellivirales	Bromoviridae		Ilarvirus	apple necrotic mosaic virus	LC108993	IV	Complete genome	1	Bromoviridae
	Buchnerviridae		Jauervirus	Acinetobacter phage YMC11/11/R3177	KP861230	I	Complete genome	1	Buchnerviridae
	Buchnerviridae		Lubinvirus	Acinetobacter phage Ab1656-2	MZ675741	I	Complete genome	1	Buchnerviridae
Priklausovirales	Burtonviroviridae		Burquivirus	Yellowstone Lake virophage 5	KM502589	I	Complete genome	1	Burtonviroviridae
Picornavirales	Caliciviridae		Bavovirus	chicken calicivirus	HQ010042	IV	Complete genome	1	Caliciviridae
Picornavirales	Caliciviridae		Lagovirus	European brown hare syndrome virus	Z69620	IV	Complete genome	1	Caliciviridae
Tolivirales	Carmotetraviridae		Alphacarmotetravirus	Providence virus	GU991616	IV	Complete genome	1	Carmotetraviridae
	Casidaviridae		Baileybluvirus	Arthrobacter phage BaileyBlu	OL455900	I	Complete genome	1	Casidaviridae
	Casidaviridae		Baileybluvirus	Arthrobacter phage CallinAllBarbz	OR553891	I	Complete genome	1	Casidaviridae
	Casjensviridae		Ahduovirus	Burkholderia phage vB_BceS_AH2	JN564907	I	Complete genome	1	Casjensviridae
	Casjensviridae		Broinstvirus	Loktanella phage pCB2051-A	HQ632859	I	Complete genome	1	Casjensviridae
Ortervirales	Caulimoviridae		Badnavirus	Aglaonema bacilliform virus	MH384837		Complete genome	1	Caulimoviridae
Ortervirales	Caulimoviridae		Badnavirus	taro bacilliform virus	AF357836		Complete genome	1	Caulimoviridae
Coyopavirales	Chaacviridae		Antichaacvirus	Methanophagales virus PBV266	OP413841	I	Complete genome	1	Chaacviridae
Coyopavirales	Chaacviridae		Homochaacvirus	Methanophagales virus PBV305	OP548100	I	Complete genome	1	Chaacviridae
	Chaseviridae	Cleopatravirinae	Carltongylesvirus	Escherichia phage vB_EcoP_Bp7	MN117721	I	Complete genome	1	Chaseviridae
	Chaseviridae	Cleopatravirinae	Carltongylesvirus	Escherichia phage vB_EcoM_Bp10	MN122072	I	Complete genome	1	Chaseviridae
Secretvirales	Chicoviridae		Chaparrovirus	Rhizobium phage RHph_TM24	MN988464		Complete genome	1	Chicoviridae
Secretvirales	Chicoviridae		Chaparrovirus	Rhizobium phage RHph_TM32	MN988477		Complete genome	1	Chicoviridae
	Chimalliviridae	Gorgonvirinae	Aphroditevirus	Vibrio phage Aphrodite1	MG720308	I	Complete genome	1	Chimalliviridae
	Chimalliviridae	Gorgonvirinae	Aphroditevirus	Vibrio phage 2 TSL-2019	MK368614	I	Complete genome	1	Chimalliviridae
Ligamenvirales	Chiyouviridae		Wargodvirus	Bathyarchaeia bifangarchaeales chiyouvirus 1	PP467602	I	Complete genome	1	Chiyouviridae
Jingchuvirales	Chuviridae		Boscovirus	Wǔhàn louse fly virus 7	S1: KM817609	V	Complete genome	1	Chuviridae
Jingchuvirales	Chuviridae		Boscovirus	Wǔhàn louse fly virus 6	S1: KM817607	V	Complete genome	1	Chuviridae
Cirlivirales	Circoviridae		Circovirus	white-naped crane circovirus 1	MN928908		Complete genome	1	Circoviridae
Cirlivirales	Circoviridae		Circovirus	banfec circovirus 2	OQ599924		Complete genome	1	Circoviridae
	Clavaviridae		Clavavirus	Aeropyrum pernix bacilliform virus 1	AB537968	I	Complete genome	1	Clavaviridae
	Clermontviridae		Ventrumvirus	Methanonassiliicoccales tailed virus 1	BK063676	I	Complete genome	1	Clermontviridae
Martellivirales	Closteroviridae		Ampelovirus	air potato ampelovirus 1	MH206615	IV	Complete genome	1	Closteroviridae
Martellivirales	Closteroviridae		Ampelovirus	yam asymptomatic virus 1	MT409627	IV	Complete genome	1	Closteroviridae
	Colingsworthviridae		Lomovskayavirus	Streptomyces phage phiBT1	AJ550940	I	Complete genome	1	Colingsworthviridae
	Colingsworthviridae		Lomovskayavirus	Streptomyces phage phi-C31	AJ006589	I	Complete genome	1	Colingsworthviridae
	Connertonviridae		Firehammervirus	Campylobacter phage CJLB-12	MW074125	I	Complete genome	1	Connertonviridae
	Connertonviridae		Firehammervirus	Campylobacter phage CJLB-14	MW074126	I	Complete genome	1	Connertonviridae
Nidovirales	Coronaviridae	Orthocoronavirinae	Alphacoronavirus	bat alphacoronavirus isolate AMA_L_F	MT663548	IV	Complete genome	1	Coronaviridae
Nidovirales	Coronaviridae	Orthocoronavirinae	Alphacoronavirus	bat coronavirus CDPHE15	KF430219	IV	Complete genome	1	Coronaviridae
Vinavirales	Corticoviridae		Merivirus	Pseudoalteromonas phage Cr39582	MG966533	I	Complete genome	1	Corticoviridae
Vinavirales	Corticoviridae		Merivirus	Pseudoalteromonas phage PM2	AF155037	I	Complete genome	1	Corticoviridae
Nidovirales	Cremegaviridae	Becregavirinae	Sicregavirus	Trionyx sinensis hemorrhagic syndrome virus	MH447987	IV	Complete genome	1	Cremegaviridae
Jingchuvirales	Crepuscuviridae		Aqualaruvirus	megalopteran chu-related virus 119	MW039261	V	Coding-complete genome	1	Crepuscuviridae
Crassvirales	Crevaviridae	Coarsevirinae	Junduvirus	uncultured phage cr25_1	MZ130487	I	Complete genome	1	Crevaviridae
Crassvirales	Crevaviridae	Coarsevirinae	Junduvirus	Crassvirales sp. isolate ct8tL4	BK044746	I	Complete genome	1	Crevaviridae
Durnavirales	Curvulaviridae		Orthocurvulavirus	Heterobasidion RNA virus 6	HQ189459	III	Complete genome	1	Curvulaviridae
